"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","준공일자","개관일자","설립운영주체구분명","박물관미술관종류명","박물관미술관유형명","폐관일자","폐관사유","자본금","소요자금","법인설립목적","허가조건","법인해산일자","법인명",
"64","박물관, 미술관","03_07_05_P","6470000","B04012017000029","2005-01-11","","01","영업/정상","1","영업","","","","","","","","경상북도 경주시 석장동 707번지 0호","경상북도 경주시 동대로 123-0 (석장동,동국대학교경주캠퍼스)","","동국대학교경주캠퍼스박물관","2018-02-23 11:14:36","U","2024-10-11 02:40:00","","398098.740259609","264889.815866508","박물관","","19830410","대학","1종","전문박물관","","","","","","","","",
"65","박물관, 미술관","03_07_05_P","6470000","B04012018000001","2018-09-11","","01","영업/정상","1","영업","","","","","","","","경상북도 경주시 진현동 122번지 0호","경상북도 경주시 불국로 385-0, 0동 (진현동,불국사)","","불국사박물관","2018-09-11 19:59:59","U","2024-10-11 02:40:00","","410755.336224887","256930.278446275","박물관","","20180911","사립","1종","전문박물관","","","","","","","","",
"66","박물관, 미술관","03_07_05_P","6470000","B04012020000004","2020-10-29","","01","영업/정상","1","영업","","","","","","","","경상북도 영천시 도림동 709번지 4호","경상북도 영천시 선창길 9-0, 1층 1호 (도림동)","","영천역사박물관","2023-01-06 17:35:54","U","2024-10-11 02:40:00","","373910.417725108","281528.199560367","박물관","","20140515","사립","1종","전문박물관","","","0","","","","","",
"67","박물관, 미술관","03_07_05_P","6470000","B04012022000001","2022-09-01","","01","영업/정상","1","영업","","","","","","","","경상북도 안동시 도산면 동부리 130번지 50호","경상북도 안동시 도산면 월천길 301-0","","세계유교문화박물관","2022-09-22 19:53:31","U","2024-10-11 02:40:00","","364918.790098277","356358.071156815","박물관","","20220902","공립","1종","전문박물관","","","0","","","","","",
"68","박물관, 미술관","03_07_05_P","6470000","B04012017000004","2017-02-14","","01","영업/정상","1","영업","","","","","","","","경상북도 칠곡군 석적읍 중지리 산 33번지","경상북도 칠곡군 석적읍 강변대로 1580","","칠곡호국평화기념관","2023-02-01 17:16:54","U","2024-10-11 02:40:00","","326447.856242208","280678.678801746","박물관","","20151015","공립","1종","종합박물관","","","0","","","","","",
"69","박물관, 미술관","03_07_05_P","6470000","B04012017000005","2017-04-12","","01","영업/정상","1","영업","","","","","","","","경상북도 영천시 금호읍 원제리 297번지 1호","경상북도 영천시 금호읍 원제2길 38","","(재)경상북도문화재연구원 박물관","2018-04-30 14:11:27","U","2024-10-11 02:40:00","","371143.583912163","273188.829293245","박물관","","20170412","사립","1종","전문박물관","","","","","","","","",
"70","박물관, 미술관","03_07_05_P","6470000","B04012017000006","2017-08-25","","01","영업/정상","1","영업","","","","","","","","경상북도 고령군 대가야읍 쾌빈리 162번지","경상북도 고령군 대가야읍 가야금길 98","","우륵박물관","2018-02-23 11:07:15","U","2024-10-11 02:40:00","","314224.236354657","249849.913275541","박물관","","20060331","공립","1종","전문박물관","","","","","","","","",
"71","박물관, 미술관","03_07_05_P","6470000","B04012017000008","2015-11-03","","01","영업/정상","1","영업","","","","","","","","경상북도 경산시 남산면 인흥리 250번지 0호","경상북도 경산시 남산면 삼성현공원로 59-0","","삼성현역사문화관","2022-02-23 14:28:44","U","2024-10-11 02:40:00","","362343.604671908","257171.014275993","박물관","","20150430","공립","1종","전문박물관","","","0","","","","","",
"72","박물관, 미술관","03_07_05_P","6470000","B04012017000009","2015-12-29","","01","영업/정상","1","영업","","","","","","","","경상북도 예천군 감천면 포리 688번지 0호","경상북도 예천군 감천면 복골길 150-0 (예천충효공원)","","예천박물관","2020-09-14 15:56:39","U","2024-10-11 02:40:00","","335248.984057967","356505.306427558","박물관","","20100511","공립","1종","전문박물관","","","","","","","","",
"73","박물관, 미술관","03_07_05_P","6470000","B04012017000010","2015-12-29","","01","영업/정상","1","영업","","","","","","","","경상북도 문경시 문경읍 하초리 243번지 0호","경상북도 문경시 문경읍 새재1길 45-0 (문경새재자연생태전시관)","","문경자연생태박물관","2018-02-23 11:07:23","U","2024-10-11 02:40:00","","296239.07556043","361771.671444559","박물관","","20071018","공립","1종","전문박물관","","","","","","","","",
