연도,시군구명,항목명,산출액,중간투입액,부가가치,고정자본소모,지역내순생산,기타생산세(기타생산보조금 공제),지역내요소소득,산출액(2015년 기준년 연쇄가격),부가가치(2015년 기준년 연쇄가격)
2016,경주시,광업,15787,7526,8262,1246,7016,15,7001,15128,7984
2016,김천시,광업,22988,11025,11963,1827,10136,22,10114,22027,11563
2016,안동시,광업,31178,14872,16306,2462,13843,30,13813,29875,15760
2016,구미시,광업,10237,4940,5297,819,4478,10,4468,9809,5121
2016,영주시,광업,26833,12948,13885,2147,11738,26,11712,25712,13422
2016,영천시,광업,14808,7145,7662,1185,6478,14,6463,14189,7407
2016,상주시,광업,8308,4009,4299,665,3634,8,3626,7960,4156
2016,문경시,광업,15125,6776,8348,1114,7235,14,7220,14493,8061
2016,경산시,광업,28715,13856,14859,2297,12561,27,12534,27515,14364
2016,군위군,광업,39650,19133,20517,3172,17345,38,17307,37993,19834
2016,의성군,광업,333,155,178,26,153,  ,152,319,172
2016,청송군,광업,3705,1788,1917,296,1621,4,1617,3550,1853
2016,영양군,광업,102,49,53,8,45,  ,45,98,51
2016,영덕군,광업,20571,9927,10645,1646,8999,20,8979,19711,10290
2016,청도군,광업,5995,2893,3102,480,2622,6,2617,5744,2999
2016,고령군,광업,15512,7485,8027,1241,6786,15,6771,14864,7759
2016,성주군,광업,8808,4250,4558,705,3853,8,3844,8440,4406
2016,칠곡군,광업,17630,8507,9123,1411,7712,17,7695,16893,8819
2016,예천군,광업,265,128,137,21,116,  ,116,254,132
2016,봉화군,광업,13861,7716,6145,1060,5085,14,5071,13692,5772
2016,울진군,광업,60359,29180,31179,4827,26352,58,26294,57858,30132
2016,울릉군,광업,  ,  ,  ,  ,  ,  ,  ,  ,  
2016,경상북도,광업,380728,183838,196890,30226,166664,365,166299,365258,190143
2017,포항시,광업,15755,7613,8142,1164,6978,21,6957,14468,7555
2017,경주시,광업,16257,7747,8511,1200,7311,22,7289,14906,7858
2017,김천시,광업,25229,12122,13107,1882,11225,34,11191,23135,12111
2017,안동시,광업,32551,15573,16978,2417,14561,44,14518,29850,15687
2017,구미시,광업,8278,4128,4151,627,3524,11,3512,7577,3797
2017,영주시,광업,28809,13919,14890,2163,12728,39,12689,26418,13760
2017,영천시,광업,12975,6269,6706,974,5732,17,5715,11898,6197
2017,상주시,광업,12039,5817,6223,904,5319,16,5303,11040,5750
2017,문경시,광업,15535,6882,8654,1057,7596,21,7576,14246,7989
2017,경산시,광업,30316,14647,15669,2276,13393,41,13353,27800,14479
2017,군위군,광업,25751,12441,13310,1933,11377,35,11342,23614,12299
2017,의성군,광업,586,272,313,42,271,1,271,537,290
2017,청송군,광업,11463,5538,5925,860,5065,15,5049,10512,5475
2017,영양군,광업,38,18,20,3,17,  ,17,35,18
2017,영덕군,광업,15059,7275,7783,1130,6653,20,6633,13809,7192
2017,청도군,광업,6359,3072,3287,477,2809,9,2801,5831,3037
2017,고령군,광업,15288,7386,7902,1148,6754,21,6733,14019,7302
2017,성주군,광업,8174,3949,4225,614,3611,11,3600,7496,3904
2017,칠곡군,광업,14629,7068,7561,1098,6463,20,6443,13414,6987
2017,예천군,광업,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,봉화군,광업,20608,12692,7917,1649,6267,28,6240,18654,6620
2017,울진군,광업,26316,12834,13482,1980,11502,35,11466,24118,12421
2017,울릉군,광업,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,경상북도,광업,342016,167261,174755,25598,149157,459,148698,313179,160779
2018,포항시,광업,15387,8281,7106,1176,5930,16,5915,13661,6839
2018,경주시,광업,14883,7731,7152,1136,6015,15,6000,13209,6741
2018,김천시,광업,26734,14002,12731,2070,10662,28,10634,23728,12038
2018,안동시,광업,26528,13916,12612,2058,10554,27,10527,23546,11928
2018,구미시,광업,9477,5156,4322,754,3568,10,3558,8411,4024
2018,영주시,광업,29004,15249,13755,2257,11499,30,11469,25743,13013
2018,영천시,광업,11353,5969,5384,883,4501,12,4489,10077,5094
2018,상주시,광업,10796,5566,5230,818,4411,11,4400,9583,4935
2018,문경시,광업,18579,9152,9427,1324,8103,19,8083,16490,8850
2018,경산시,광업,27634,14528,13106,2150,10955,28,10927,24527,12398
2018,군위군,광업,22089,11613,10476,1719,8757,23,8734,19606,9910
2018,의성군,광업,850,436,414,64,350,1,349,755,390
2018,청송군,광업,15451,8123,7328,1202,6125,16,6109,13714,6932
2018,영양군,광업,89,47,42,7,35,  ,35,79,40
2018,영덕군,광업,15843,8330,7514,1233,6281,16,6265,14062,7108
2018,청도군,광업,4996,2627,2370,389,1981,5,1976,4435,2242
2018,고령군,광업,7566,3978,3588,589,3000,8,2992,6715,3395
2018,성주군,광업,9750,5126,4624,759,3865,10,3855,8654,4374
2018,칠곡군,광업,10964,5764,5200,853,4347,11,4335,9731,4919
2018,예천군,광업,  ,  ,  ,  ,  ,  ,  ,  ,  
2018,봉화군,광업,19511,12285,7226,1677,5549,20,5529,17307,6247
2018,울진군,광업,23117,12158,10959,1799,9159,24,9135,20518,10365
2018,울릉군,광업,  ,  ,  ,  ,  ,  ,  ,  ,  
2018,경상북도,광업,320602,170037,150565,24917,125648,331,125317,284378,141874
2015,포항시,제조업,26041334,20058949,5982386,1652921,4329465,43268,4286197,26041334,5982386
2015,경주시,제조업,16260573,12142795,4117778,953974,3163805,34658,3129147,16260573,4117778
2015,김천시,제조업,5336223,3846259,1489964,364424,1125541,11851,1113690,5336223,1489964
2015,안동시,제조업,858086,658554,199532,38877,160654,2007,158647,858086,199532
2015,구미시,제조업,78850568,53022978,25827591,9377348,16450243,101525,16348718,78850568,25827591
2015,영주시,제조업,3142859,2281786,861073,173337,687736,6567,681168,3142859,861073
2015,영천시,제조업,5690950,4266246,1424705,304861,1119844,12159,1107685,5690950,1424705
2015,상주시,제조업,1116498,880660,235838,47689,188149,2625,185525,1116498,235838
2015,문경시,제조업,745799,537670,208129,51054,157075,1269,155806,745799,208129
2015,경산시,제조업,10262649,7540936,2721713,591576,2130137,21539,2108598,10262649,2721713
2015,군위군,제조업,822483,620077,202406,35544,166862,1899,164963,822483,202406
2015,의성군,제조업,569272,423739,145533,31389,114144,1255,112888,569272,145533
2015,청송군,제조업,44477,33077,11400,2254,9145,86,9060,44477,11400
2015,영양군,제조업,48200,37340,10860,2327,8533,100,8433,48200,10860
2015,영덕군,제조업,161104,122966,38138,8178,29960,389,29571,161104,38138
2015,청도군,제조업,561682,409282,152399,36493,115906,1127,114780,561682,152399
2015,고령군,제조업,2410241,1788916,621325,124734,496591,4886,491705,2410241,621325
2015,성주군,제조업,2258186,1644018,614168,118150,496018,5048,490970,2258186,614168
2015,칠곡군,제조업,6644366,4762802,1881563,388994,1492569,14502,1478067,6644366,1881563
2015,예천군,제조업,230251,176457,53794,11660,42134,518,41616,230251,53794
2015,봉화군,제조업,1184507,929506,255001,75987,179013,1922,177091,1184507,255001
2015,울진군,제조업,180959,120138,60822,8795,52027,371,51656,180959,60822
2015,울릉군,제조업,38371,28573,9798,1891,7908,80,7827,38371,9798
2015,경상북도,제조업,163459639,116333723,47125916,14402457,32723459,269651,32453808,163459639,47125916
2016,포항시,제조업,26120724,19828378,6292345,1728313,4564033,37575,4526458,27375061,6200076
2016,경주시,제조업,16873860,12485806,4388055,1069539,3318515,29830,3288686,17022392,4223020
2016,김천시,제조업,5381535,3802993,1578542,374753,1203789,10448,1193341,5504758,1538477
2016,안동시,제조업,888107,679774,208332,40280,168052,1868,166184,894762,200746
2016,구미시,제조업,76414813,50082209,26332604,9694221,16638383,100576,16537807,81302477,26764231
2016,영주시,제조업,2937411,2091799,845612,164856,680756,5600,675156,3015466,816041
2016,영천시,제조업,5844577,4340282,1504294,342638,1161656,10696,1150960,5910188,1440342
2016,상주시,제조업,1160233,907596,252637,52322,200316,2453,197863,1171415,243428
2016,문경시,제조업,859266,616417,242849,58501,184348,1499,182849,872498,238166
2016,경산시,제조업,10424240,7637132,2787108,614434,2172674,18830,2153844,10514221,2671383
2016,군위군,제조업,775619,578112,197507,36688,160819,1570,159249,784902,189336
2016,의성군,제조업,571943,420282,151661,32086,119575,1055,118520,579856,147804
2016,청송군,제조업,48977,36496,12482,2336,10145,86,10060,49478,12362
2016,영양군,제조업,54380,42593,11786,2479,9308,107,9201,54814,11491
2016,영덕군,제조업,161409,123678,37731,8152,29578,308,29270,162932,36907
2016,청도군,제조업,566048,412561,153487,33900,119587,1078,118510,572681,148208
2016,고령군,제조업,2392017,1765784,626233,131818,494415,4135,490280,2440871,599551
2016,성주군,제조업,2514692,1824374,690318,142925,547393,4632,542761,2538788,657060
2016,칠곡군,제조업,6524455,4617109,1907346,394176,1513170,12003,1501167,6632678,1839080
2016,예천군,제조업,228379,173908,54471,11858,42613,453,42160,231691,53106
2016,봉화군,제조업,1180716,917987,262729,80117,182612,1661,180951,1242840,258857
2016,울진군,제조업,141861,105123,36737,7381,29357,257,29100,143167,35999
2016,울릉군,제조업,32123,23675,8447,1854,6594,56,6537,32311,8244
2016,경상북도,제조업,162097385,113514070,48583315,15025628,33557687,246775,33310912,169050246,48333913
2017,포항시,제조업,30639617,23747285,6892331,1804027,5088305,43965,5044340,29332594,6636215
2017,경주시,제조업,16068150,11952697,4115452,1075127,3040326,29589,3010737,15969332,4058742
2017,김천시,제조업,5634689,4008684,1626005,391050,1234955,11739,1223215,5593208,1591038
2017,안동시,제조업,918633,711464,207168,39847,167322,1958,165364,906434,202127
2017,구미시,제조업,72503374,45800059,26703314,8542293,18161021,98031,18062990,72644020,23713255
2017,영주시,제조업,3650398,2696303,954095,196263,757832,6808,751024,3564688,942330
2017,영천시,제조업,5708562,4269629,1438933,344073,1094860,10899,1083961,5639383,1416123
2017,상주시,제조업,1200089,936117,263971,56194,207777,2604,205174,1185317,259455
2017,문경시,제조업,926055,664987,261069,64166,196903,1703,195200,928791,265409
2017,경산시,제조업,10138831,7479915,2658916,609882,2049034,19369,2029665,10089724,2639353
2017,군위군,제조업,771466,584566,186900,35210,151690,1617,150073,763700,184502
2017,의성군,제조업,556841,408582,148259,31118,117141,1064,116077,554763,149800
2017,청송군,제조업,48102,36230,11873,2132,9741,87,9654,48080,12246
2017,영양군,제조업,65857,51850,14007,2875,11131,134,10997,65265,14015
2017,영덕군,제조업,137462,107633,29828,6262,23567,284,23282,136333,30043
2017,청도군,제조업,559281,410739,148542,33051,115491,1116,114376,558004,149420
2017,고령군,제조업,2629778,1968504,661274,140415,520859,4690,516169,2581258,649462
2017,성주군,제조업,2727412,1989984,737427,158733,578694,5249,573445,2708540,730455
2017,칠곡군,제조업,6857277,4891551,1965726,402331,1563395,13287,1550108,6808366,1929864
2017,예천군,제조업,216908,167018,49890,10896,38994,459,38535,215068,49916
2017,봉화군,제조업,1390894,1102484,288411,82872,205538,1930,203608,1322723,274994
2017,울진군,제조업,139032,102735,36297,7329,28968,251,28717,138898,37031
2017,울릉군,제조업,37108,27255,9852,2168,7685,65,7620,37221,10125
2017,경상북도,제조업,163525814,114116272,49409542,14038314,35371228,256896,35114332,161917649,46021132
2018,포항시,제조업,31102787,24223407,6879380,1912167,4967213,31669,4935544,28426630,6447609
2018,경주시,제조업,16289921,12216736,4073185,1090412,2982773,20575,2962198,16006085,4070041
2018,김천시,제조업,6339297,4514303,1824994,459424,1365570,8922,1356647,6177905,1778391
2018,안동시,제조업,1037690,780063,257626,49143,208483,1799,206684,1007111,251104
2018,구미시,제조업,65144729,40489886,24654843,8131838,16523005,61564,16461441,66452341,22443135
2018,영주시,제조업,3775592,2796058,979533,208330,771203,5172,766031,3564385,942090
2018,영천시,제조업,6227648,4717833,1509815,385739,1124076,8210,1115867,6048689,1497216
2018,상주시,제조업,1259532,983955,275577,61249,214328,2082,212246,1219252,268004
2018,문경시,제조업,977109,699846,277263,68813,208450,1241,207209,969061,280101
2018,경산시,제조업,10376325,7701357,2674968,642009,2032959,13662,2019297,10207264,2660796
2018,군위군,제조업,737634,561010,176624,34613,142011,1172,140839,713516,171447
2018,의성군,제조업,536139,397862,138277,29905,108372,768,107604,523355,137693
2018,청송군,제조업,54717,40966,13751,2425,11326,78,11248,53812,13764
2018,영양군,제조업,52534,41004,11530,2394,9136,86,9050,51036,11210
2018,영덕군,제조업,147784,115609,32175,6835,25340,244,25097,143520,31567
2018,청도군,제조업,556753,410387,146365,33731,112634,801,111833,547277,144994
2018,고령군,제조업,2788666,2101951,686715,150244,536471,3551,532920,2664639,661642
2018,성주군,제조업,2802564,2058589,743975,165098,578876,3737,575140,2739867,736830
2018,칠곡군,제조업,6955150,4996677,1958473,420928,1537545,9186,1528359,6797583,1925575
2018,예천군,제조업,225054,173935,51119,11089,40029,368,39661,217780,50242
2018,봉화군,제조업,1328687,1056240,272446,82915,189532,1344,188188,1202520,250759
2018,울진군,제조업,139752,102446,37306,7900,29406,188,29218,137307,37347
2018,울릉군,제조업,55024,42025,12999,2748,10251,84,10167,54402,13184
2018,경상북도,제조업,158911085,111222146,47688939,13959948,33728991,176503,33552488,156087373,44826227
2015,포항시,전기가스증기및공기조절업,727284,511500,215784,82050,133734,10260,123475,727284,215784
